code,municipio,cvli,cpli,siva,cvp,pib,rendapercapita,idh,idebanosiniciais,idebanosfinais,pessoalocupado,totalCrimes
250090,arara,2,0,6,15,98832.23,7300.36,0.548,4.3,2.9,739,23
250480,coremas,2,0,0,2,141089.83,9146.24,0.592,4.6,2.8,970,4
250140,'baia da traicao',2,11,9,12,79805.13,8798.8,0.581,3.8,3.3,763,34
250870,'mae dagua',2,1,1,0,31494.4,7855.92,0.542,4,4,389,4
250010,'agua branca',2,1,5,4,77220.29,7527.81,0.572,6.1,5.1,803,12
251335,'santa ines',2,0,0,0,29071.39,8084.37,0.572,4.4,3.1,349,2
250990,natuba,2,1,3,0,80816.41,7726.23,0.541,4.4,3.1,769,6
251150,pilar,2,4,7,11,92898.8,7781.77,0.579,3.5,3,1285,24
251180,pirpirituba,2,1,10,10,85033.57,8033.4,0.595,4.2,3.4,677,23
251590,serraria,2,0,2,2,58897.62,9666.44,0.547,4,4,378,6
251490,'sao mamede',2,1,4,3,69261.19,8970.49,0.641,5.6,4,699,10
251090,paulista,2,1,3,6,119566.02,9714.5,0.587,5.2,4.3,790,12
251040,'olho dagua',2,0,0,0,56660.62,8700.95,0.572,5,3.2,569,2
251540,serido,2,2,9,4,68136.84,6147.32,0.555,4.6,3.7,483,17
251660,tavares,2,0,2,3,108712.07,7415.05,0.586,5.4,4.4,894,7
251455,'sao jose de princesa',2,0,2,0,29101.97,7574.69,0.565,0,0,209,4
250790,juripiranga,2,2,7,2,99765.08,9263.24,0.548,4.5,4.1,892,13
251450,'sao jose de piranhas',2,6,7,2,175935.19,8725.65,0.591,5.7,4.1,1121,17
250910,mari,2,0,2,3,191167.71,8747.49,0.548,4.1,3,1454,7
251470,'sao jose do sabugi',1,1,3,2,59405.71,14331.9,0.617,5.5,4.5,450,7
250170,'barra de sao miguel',1,2,5,3,46564.99,7788.09,0.572,4.9,4.1,407,11
250210,'boa ventura',1,1,1,5,41911.87,7835.46,0.599,4.1,3.7,59,8
251480,'sao jose dos cordeiros',1,1,0,2,28622.49,7712.88,0.556,5.2,0,274,4
251520,'sao sebastiao do umbuzeiro',1,0,2,1,31037.3,8877.94,0.581,4.7,3.9,305,4
251440,'sao jose de espinharas',1,0,1,1,48502.66,10464.44,0.577,3.6,3.5,376,3
250070,'sao joao do rio do peixe',1,1,9,6,171740.29,9573.04,0.608,4,2.9,1448,17
250230,'bom sucesso',1,1,1,1,41481.53,8343.03,0.592,4.9,3.9,399,4
250770,juazeirinho,1,0,23,16,154331.79,8473.72,0.567,4.4,3.3,1557,40
250153,barauna,1,0,2,1,40502.27,8223.81,0.558,5.3,4.8,364,4
251550,'serra branca',1,2,5,0,117760.64,8591.28,0.628,4.5,3.4,1112,8
250310,cabaceiras,1,3,6,5,48283.2,8668.44,0.611,6.4,5.5,376,15
251593,sertaozinho,1,0,5,5,46041.3,9127.94,0.621,4.5,3.9,376,11
251597,sobrado,1,0,1,3,86880.15,11145.63,0.573,5.2,3.6,605,5
251600,solanea,1,2,10,26,264101.99,10012.97,0.595,4.6,2.8,2124,39
251615,sossego,1,0,2,2,31230.65,8755.44,0.573,4.6,4.1,379,5
251650,taperoa,1,0,0,3,123150.67,8061.71,0.578,4.3,3.5,1239,4
251680,triunfo,1,3,3,2,74710.53,7879.2,0.609,4.5,3.6,540,9
250053,alcantil,1,0,18,5,42305.12,7693.24,0.578,5,4,441,24
250050,alagoinha,1,0,8,4,108719.44,7516.55,0.595,3.8,3.6,741,13
251710,varzea,1,0,0,2,29714.51,10537.06,0.707,6.6,5.5,379,3
250135,assuncao,1,1,3,0,36965.49,9427.57,0.609,4.7,3.7,364,5
250335,cacimbas,1,2,1,0,0,0,0,0,0,0,4
250330,'cachoeira dos indios',1,2,2,2,109469.12,10664.31,0.587,3.5,3.1,599,7
250523,'cuite de mamanguape',1,1,4,1,55256.49,8690.86,0.524,3.8,2.5,450,7
250855,logradouro,1,0,0,1,37488.15,8631.86,0.583,4.6,4.3,302,2
251720,vieiropolis,1,0,0,2,41395.75,7725.97,0.571,5.6,5,396,3
250260,igaracy,1,0,0,0,51203.5,8294.75,0.61,4.4,3.3,483,1
250660,ibiara,1,0,2,1,47406.68,8001.13,0.586,4.9,3.6,410,4
250915,marizopolis,1,0,1,2,61341.78,9274.54,0.608,4.1,3.7,663,4
250933,matinhas,1,0,4,4,41685.95,9188,0.541,4.2,3.3,329,9
250939,matureia,1,3,3,2,50511.47,7668.36,0.572,4.8,3.5,422,9
251030,'nova palmeira',1,0,1,0,39414.58,8027.41,0.595,5.8,4.7,466,2
250580,'duas estradas',1,0,3,4,37668.91,10481.05,0.603,4.1,4.1,374,8
251050,olivedos,1,0,7,2,35220.3,8914.27,0.603,5.3,4.8,278,10
250535,damiao,1,1,5,3,41814.3,7826,0.521,4.3,3.2,373,10
250520,cuitegi,1,4,3,6,56889.76,8378.46,0.57,3.7,3.1,589,14
251110,'pedra lavrada',1,0,7,2,68822.85,8473.63,0.574,5.4,4.7,723,10
250340,'cacimba de areia',1,0,1,3,33110.7,8831.87,0.596,4.7,4.2,350,5
251130,pianco,1,3,3,0,179580.68,11160.32,0.621,4.2,3.1,1816,7
250470,congo,1,2,3,4,50491.22,10543.17,0.581,5.3,5.1,446,10
251160,piloes,1,1,8,7,87417.03,13230.97,0.56,4.5,2.5,479,17
251170,piloezinhos,1,0,5,3,43674.97,8597.43,0.564,3.9,2.6,280,9
250435,caturite,1,0,3,5,56757.31,11729.14,0.623,4.8,4.1,538,9
251203,'poco dantas',1,0,1,2,33453.28,8873.55,0.525,4.4,3.5,375,4
250420,catingueira,1,1,1,0,40216.31,8150.85,0.574,4.3,3.3,447,3
251207,'poco de jose de moura',1,1,0,1,40621.8,9407.55,0.612,4.7,4.4,537,3
251276,'riachao do poco',1,0,3,3,43860.29,9705.75,0.555,4.9,3.6,435,7
250375,cajazeirinhas,1,2,0,1,30467.59,9530.05,0.55,5.3,4.4,272,4
251315,'santa cecilia',1,0,0,1,53031.24,8087.73,0.525,4.3,2.8,483,2
251320,'santa cruz',1,1,2,3,55392.14,8411.87,0.618,6.2,3.6,437,7
250550,'vista serrana',1,1,0,1,33190.96,8716.11,0.566,0,0,378,3
250930,mataraca,0,4,8,6,185173.3,21872.58,0.536,3.7,2.4,1435,18
250950,montadas,0,3,18,8,61427.23,10793.75,0.59,5.8,3.9,653,29
250530,'curral velho',0,3,0,1,19978.31,7937.35,0.606,4.7,3.2,172,4
250415,casserengue,0,3,3,7,59293.9,7931.23,0.514,4.9,3.5,450,13
250160,'barra de santa rosa',0,3,9,8,127542.45,8270.7,0.562,5.1,4,881,20
251510,'sao sebastiao de lagoa de roca',0,3,13,7,86628.58,7313.51,0.594,4.5,2.2,748,23
250360,caicara,0,2,3,2,59330.54,8146.44,0.592,4.3,3.5,449,7
250720,itatuba,0,2,5,0,105319.22,9683.64,0.562,3.9,3.6,839,7
251140,picui,0,2,6,9,176526.64,9421.29,0.608,5.6,4.8,1623,17
250800,juru,0,2,2,6,74007.44,7499.74,0.57,5,4.6,549,10
250215,'boa vista',0,1,12,4,126809.27,17903.33,0.649,5.9,4.1,1125,17
250157,'barra de santana',0,1,19,7,63430.36,7696.93,0.567,5.4,3.3,574,27
250240,'bonito de santa fe',0,1,1,2,95006.97,7958.37,0.574,3.8,3.5,777,4
251740,zabele,0,1,1,1,22410.85,9982.56,0.623,5,4.5,252,3
250820,'lagoa de dentro',0,1,5,3,71621.11,9337.82,0.57,4.6,3.2,618,9
251220,prata,0,1,5,2,49192.39,11771.33,0.608,6,6,392,8
251380,'santa terezinha',0,1,4,4,44620.56,9757.39,0.627,5.2,3.9,564,9
251360,'santana dos garrotes',0,1,1,4,53614.88,7633.1,0.594,4.1,3.8,488,6
251400,'sao joao do cariri',0,1,1,1,42851.72,9974.79,0.622,3.9,4.1,505,3
251430,'sao jose de caiana',0,1,0,0,46277.93,7370.27,0.565,5.7,4.2,333,1
251272,'pedro regis',0,1,1,3,46842.42,7680.34,0.542,3.9,3.1,380,5
250500,cubati,0,1,10,11,59220.74,8141.43,0.566,4.3,4,540,22
250620,'frei martinho',0,1,1,0,26563.27,8884.04,0.641,5.5,3.9,291,2
250880,malta,0,1,5,1,49594.51,8754.55,0.642,5.1,5,452,7
250073,amparo,0,0,7,3,24392.95,10860.62,0.606,5.3,4.3,339,10
250780,'junco do serido',0,0,5,2,65183.55,9097.49,0.617,4.4,4,676,7
250570,'dona ines',0,0,5,8,81254.2,7825.7,0.545,5.6,4.8,508,13
250220,'bom jesus',0,0,3,5,26206.25,10208.9,0.597,4.2,4,269,8
250760,'juarez tavora',0,0,2,4,63092.5,7936.16,0.579,4.2,2.6,535,6
251365,'joca claudino',0,0,2,0,26687.45,9920.99,0.622,5.5,3.6,321,2
251385,'santo andre',0,0,2,0,24161.32,9591.63,0.6,4.5,3.7,272,2
251398,'sao francisco',0,0,2,2,31961.8,9503.95,0.58,6,4.5,283,4
250960,'monte horebe',0,0,2,1,36881.38,7643.81,0.587,5,3.9,248,3
251060,'ouro velho',0,0,2,5,31211.13,10260.07,0.614,4.7,3.4,332,7
250650,gurjao,0,0,2,3,30536.96,8887.36,0.625,5.6,3.4,369,5
250057,'algodao de jandaira',0,0,2,2,25920.06,10363.88,0.548,4.6,3.2,353,4
251580,'serra redonda',0,0,1,1,59667.19,8499.6,0.57,3.6,3.1,739,2
251278,'riacho de santo antonio',0,0,1,0,21693.66,10928.8,0.594,3.9,3.5,228,1
251020,'nova olinda',0,0,1,2,47954.75,8067.76,0.573,3.9,3.2,486,3
250485,coxixola,0,0,1,1,19190.04,9968.85,0.641,7.1,0,190,2
251394,'sao domingos do cariri',0,0,1,2,23775.12,9140.76,0.589,6.2,4,197,3
250390,camalau,0,0,1,3,59381.67,9864.06,0.567,4.9,4.4,462,4
251330,'santa helena',0,0,1,1,49395.95,8390.68,0.609,6,4.9,493,2
251392,'sao bentinho',0,0,1,1,40293.93,8875.32,0.606,5.5,4.3,470,2
251396,'sao domingos de pombal',0,0,1,1,28149.33,9022.22,0.548,4.4,3.9,246,2
251100,'pedra branca',0,0,0,3,32502.96,8546.66,0.599,4.7,4.2,295,3
251000,nazarezinho,0,0,0,2,57527.53,7884.8,0.562,4.6,2.7,439,2
250205,'bernardino batista',0,0,0,1,31613.7,9195.38,0.558,5.3,3.9,348,1
250840,lastro,0,0,0,1,26081.38,9571.15,0.533,4.2,3.7,309,1
250937,'mato grosso',0,0,0,1,25503.48,8749.05,0.565,4.9,4,251,1
251260,quixaba,0,0,0,1,22352.56,11381.14,0.622,5.4,3.8,286,1
251300,salgadinho,0,0,0,1,25439.27,6391.78,0.563,4.4,3.6,278,1
250407,caraubas,0,0,0,1,34691.79,8317.38,0.585,5.1,3.8,333,1
250020,aguiar,0,0,0,0,47393.17,8520.89,0.597,4.8,4,429,0
250410,carrapateira,0,0,0,0,25579.24,9591.01,0.603,5.5,4.4,250,0
250590,emas,0,0,0,0,32011,9073.41,0.595,4,4,325,0
251065,parari,0,0,0,0,18614.91,10522.84,0.584,4.3,0,223,0
251274,riachao,0,0,0,0,30886.37,8562.9,0.574,4.9,4,431,0
251465,'sao jose do brejo do cruz',0,0,0,0,23009.16,12740.4,0.581,5.1,3.8,245,0
251560,'serra da raiz',0,0,0,0,31487.1,10088.78,0.626,4.1,3.7,339,0
251570,'serra grande',0,0,0,0,48354.75,15598.31,0.586,6,5,316,0
251675,tenorio,0,0,0,0,28109.85,9168.25,0.581,4.3,3.5,291,0
